community_chest,"Advance to ""Go"". (Collect $200) ",move_to,[0]
community_chest,Bank error in your favor. Collect $200. ,finance,[200]
community_chest,Doctor's fees. {fee} Pay $50.,finance,[-50]
community_chest,From sale of stock you get $50.,finance,[50]
community_chest,"Get Out of Jail Free. {Get out of Jail, Free. in previous US editions} ",Special,[0]
community_chest,"Go to Jail. Go directly to jail. Do not pass Go, Do not collect $200.",move_to,[10]
community_chest,Collect $50 from every player for opening night seats.,finance,[0]
community_chest,Holiday {Xmas} Fund matures. Receive {Collect} $100.,Finance,[100]
community_chest,Income tax refund. Collect $20. ,finance,[20]
community_chest,It is {It's} your birthday. Collect $10 from every player.,finance,[0]
community_chest,Life insurance matures – Collect $100,finance,[100]
community_chest,Hospital Fees. Pay $50. {Pay hospital fees of $100.} {Pay hospital $100.} ,finance,[-50]
community_chest,School fees. Pay $50. {Pay school fees {tax} of $150} ,finance,[-50]
community_chest,Receive $25 consultancy fee. {Receive for services $25.} ,finance,[25]
community_chest,You are assessed for street repairs: Pay $40 per house and $115 per hotel you own. ,finance,[0]
community_chest,You have won second prize in a beauty contest. Collect $10.,finance,[10]
community_chest,You inherit $100.,finance,[100]
